,Datetime,Date,Year,Hour,Price,circulationpump,dishwasher,freezer,gridimport,heating,washingmachine,dishwasher_dif,dishwasher_cost,washingmachine_dif,washingmachine_cost
66,2016-01-03 18:00:00,2016-01-03 00:00:00,2016,18,54.16,241.938,153.004,93.259,1520.66,0.084,95.27600000000001,0.0,0.0,0.0,0.0
67,2016-01-03 19:00:00,2016-01-03 00:00:00,2016,19,50.66,242.025,153.004,93.259,1521.0,0.084,95.27600000000001,0.0,0.0,0.0,0.0
68,2016-01-03 20:00:00,2016-01-03 00:00:00,2016,20,44.22,242.08700000000002,153.004,93.259,1521.315,0.084,95.27600000000001,0.0,0.0,0.0,0.0
69,2016-01-03 21:00:00,2016-01-03 00:00:00,2016,21,41.82,242.139,153.004,93.259,1521.625,0.084,95.27600000000001,0.0,0.0,0.0,0.0
70,2016-01-03 22:00:00,2016-01-03 00:00:00,2016,22,28.86,242.203,153.004,93.259,1521.83,0.084,95.27600000000001,0.0,0.0,0.0,0.0
71,2016-01-03 23:00:00,2016-01-03 00:00:00,2016,23,27.56,242.25599999999997,153.004,93.259,1521.94,0.084,95.27600000000001,0.0,0.0,0.0,0.0
72,2016-01-04 00:00:00,2016-01-04 00:00:00,2016,0,25.54,242.32299999999998,153.004,93.259,1522.115,0.084,95.27600000000001,0.0,0.0,0.0,0.0
73,2016-01-04 01:00:00,2016-01-04 00:00:00,2016,1,21.12,242.37599999999998,153.004,93.259,1522.29,0.084,95.27600000000001,0.0,0.0,0.0,0.0
74,2016-01-04 02:00:00,2016-01-04 00:00:00,2016,2,7.74,242.442,153.004,93.259,1522.41,0.084,95.27600000000001,0.0,0.0,0.0,0.0
75,2016-01-04 03:00:00,2016-01-04 00:00:00,2016,3,6.4,242.495,153.004,93.259,1522.55,0.084,95.27600000000001,0.0,0.0,0.0,0.0
76,2016-01-04 04:00:00,2016-01-04 00:00:00,2016,4,17.34,242.58599999999998,153.004,93.259,1522.78,0.084,95.27600000000001,0.0,0.0,0.0,0.0
77,2016-01-04 05:00:00,2016-01-04 00:00:00,2016,5,36.02,242.725,153.004,93.259,1522.98,0.084,95.27600000000001,0.0,0.0,0.0,0.0
78,2016-01-04 06:00:00,2016-01-04 00:00:00,2016,6,57.04,242.83900000000003,153.004,93.259,1523.185,0.084,95.27600000000001,0.0,0.0,0.0,0.0
79,2016-01-04 07:00:00,2016-01-04 00:00:00,2016,7,69.48,242.88,153.004,93.259,1523.415,0.084,95.27600000000001,0.0,0.0,0.0,0.0
80,2016-01-04 08:00:00,2016-01-04 00:00:00,2016,8,66.92,242.93099999999998,153.004,93.259,1523.56,0.084,95.27600000000001,0.0,0.0,0.0,0.0
81,2016-01-04 09:00:00,2016-01-04 00:00:00,2016,9,66.48,242.99599999999998,153.004,93.259,1523.685,0.084,95.27600000000001,0.0,0.0,0.0,0.0
82,2016-01-04 10:00:00,2016-01-04 00:00:00,2016,10,70.18,243.047,153.004,93.259,1523.845,0.084,95.27600000000001,0.0,0.0,0.0,0.0
83,2016-01-04 11:00:00,2016-01-04 00:00:00,2016,11,70.0,243.112,153.004,93.259,1524.06,0.084,95.27600000000001,0.0,0.0,0.0,0.0
84,2016-01-04 12:00:00,2016-01-04 00:00:00,2016,12,70.0,243.16400000000002,153.004,93.259,1524.175,0.084,95.27600000000001,0.0,0.0,0.0,0.0
85,2016-01-04 13:00:00,2016-01-04 00:00:00,2016,13,69.88,243.23,153.004,93.259,1524.305,0.084,95.27600000000001,0.0,0.0,0.0,0.0
86,2016-01-04 14:00:00,2016-01-04 00:00:00,2016,14,69.84,243.282,153.004,93.259,1524.505,0.084,95.27600000000001,0.0,0.0,0.0,0.0
87,2016-01-04 15:00:00,2016-01-04 00:00:00,2016,15,76.0,243.392,153.004,93.259,1524.94,0.084,95.27600000000001,0.0,0.0,0.0,0.0
88,2016-01-04 16:00:00,2016-01-04 00:00:00,2016,16,82.42,243.503,153.004,93.259,1526.215,0.084,95.27600000000001,0.0,0.0,0.0,0.0
89,2016-01-04 17:00:00,2016-01-04 00:00:00,2016,17,85.9,243.60299999999998,153.004,93.259,1527.375,0.084,95.27600000000001,0.0,0.0,0.0,0.0
90,2016-01-04 18:00:00,2016-01-04 00:00:00,2016,18,83.92,243.72,153.004,93.259,1527.775,0.084,95.27600000000001,0.0,0.0,0.0,0.0
91,2016-01-04 19:00:00,2016-01-04 00:00:00,2016,19,69.88,243.858,153.004,93.259,1528.16,0.084,95.27600000000001,0.0,0.0,0.0,0.0
92,2016-01-04 20:00:00,2016-01-04 00:00:00,2016,20,61.32,243.90400000000002,153.004,93.259,1528.495,0.084,95.27600000000001,0.0,0.0,0.0,0.0
93,2016-01-04 21:00:00,2016-01-04 00:00:00,2016,21,60.0,243.938,153.004,93.259,1528.825,0.084,95.27600000000001,0.0,0.0,0.0,0.0
94,2016-01-04 22:00:00,2016-01-04 00:00:00,2016,22,47.8,243.976,153.004,93.259,1528.995,0.084,95.27600000000001,0.0,0.0,0.0,0.0
95,2016-01-04 23:00:00,2016-01-04 00:00:00,2016,23,50.06,244.014,153.004,93.259,1529.095,0.084,95.27600000000001,0.0,0.0,0.0,0.0
96,2016-01-05 00:00:00,2016-01-05 00:00:00,2016,0,48.84,244.053,153.004,93.259,1529.225,0.084,95.27600000000001,0.0,0.0,0.0,0.0
97,2016-01-05 01:00:00,2016-01-05 00:00:00,2016,1,44.68,244.092,153.004,93.259,1529.395,0.084,95.27600000000001,0.0,0.0,0.0,0.0
98,2016-01-05 02:00:00,2016-01-05 00:00:00,2016,2,43.0,244.13,153.004,93.259,1529.505,0.084,95.27600000000001,0.0,0.0,0.0,0.0
99,2016-01-05 03:00:00,2016-01-05 00:00:00,2016,3,40.0,244.168,153.004,93.259,1529.6,0.084,95.27600000000001,0.0,0.0,0.0,0.0
100,2016-01-05 04:00:00,2016-01-05 00:00:00,2016,4,47.06,244.22299999999998,153.004,93.259,1529.78,0.084,95.27600000000001,0.0,0.0,0.0,0.0
101,2016-01-05 05:00:00,2016-01-05 00:00:00,2016,5,57.92,244.37,153.004,93.259,1530.035,0.084,95.27600000000001,0.0,0.0,0.0,0.0
